series,model,yaml,head,nc,series_status,parse_error
A_baselines,001_yolo11-seg,A_baselines/current/001_yolo11-seg.yaml,Segment,80,baseline/legacy comparison,
A_baselines,002_yolo11-seg-starnet-official-s1,A_baselines/current/002_yolo11-seg-starnet-official-s1.yaml,Segment,1,baseline/legacy comparison,
A_baselines,002_yolo11-seg-starnet-official-s2,A_baselines/current/002_yolo11-seg-starnet-official-s2.yaml,Segment,1,baseline/legacy comparison,
A_baselines,002_yolo11-seg-starnet,A_baselines/current/002_yolo11-seg-starnet.yaml,Segment,1,baseline/legacy comparison,
A_baselines,003_yolo11-seg-mobilenetv4,A_baselines/current/003_yolo11-seg-mobilenetv4.yaml,Segment,1,baseline/legacy comparison,
A_baselines,004_yolo11-seg-mano,A_baselines/current/004_yolo11-seg-mano.yaml,Segment,1,baseline/legacy comparison,
A_baselines,005_yolo11-seg-mano-p3,A_baselines/current/005_yolo11-seg-mano-p3.yaml,Segment,1,baseline/legacy comparison,
A_baselines,006_yolo11-seg-mano-p4,A_baselines/current/006_yolo11-seg-mano-p4.yaml,Segment,1,baseline/legacy comparison,
A_baselines,007_yolo11-seg-mano-p5,A_baselines/current/007_yolo11-seg-mano-p5.yaml,Segment,1,baseline/legacy comparison,
A_baselines,008_yolo11-seg-mano-p345,A_baselines/current/008_yolo11-seg-mano-p345.yaml,Segment,1,baseline/legacy comparison,
A_baselines,010_yolo11-seg-hvi,A_baselines/current/010_yolo11-seg-hvi.yaml,Segment,80,baseline/legacy comparison,
A_baselines,011_yolo11-seg-hvi-mano,A_baselines/current/011_yolo11-seg-hvi-mano.yaml,Segment,1,baseline/legacy comparison,
A_baselines,012_yolo11-seg-p2-cfs,A_baselines/current/012_yolo11-seg-p2-cfs.yaml,SegmentP2CFS,80,baseline/legacy comparison,
A_baselines,001_1_yolov8-seg,A_baselines/legacy/001_1_yolov8-seg.yaml,Segment,80,baseline/legacy comparison,
A_baselines,001_2_yolov9c-seg,A_baselines/legacy/001_2_yolov9c-seg.yaml,Segment,80,baseline/legacy comparison,
A_baselines,001_3_yolo11-seg,A_baselines/legacy/001_3_yolo11-seg.yaml,Segment,80,baseline/legacy comparison,
A_baselines,001_4_yolo12-seg,A_baselines/legacy/001_4_yolo12-seg.yaml,Segment,80,baseline/legacy comparison,
A_baselines,001_5_yolo26-seg,A_baselines/legacy/001_5_yolo26-seg.yaml,Segment26,80,baseline/legacy comparison,
A_baselines,002_yolo11-seg-starnet-official-s1,A_baselines/legacy/002_yolo11-seg-starnet-official-s1.yaml,Segment,1,baseline/legacy comparison,
A_baselines,002_yolo11-seg-starnet-official-s2,A_baselines/legacy/002_yolo11-seg-starnet-official-s2.yaml,Segment,1,baseline/legacy comparison,
A_baselines,002_yolo11-seg-starnet,A_baselines/legacy/002_yolo11-seg-starnet.yaml,Segment,1,baseline/legacy comparison,
A_baselines,003_yolo11-seg-mobilenetv4,A_baselines/legacy/003_yolo11-seg-mobilenetv4.yaml,Segment,1,baseline/legacy comparison,
A_baselines,004_yolo11-seg-mano,A_baselines/legacy/004_yolo11-seg-mano.yaml,Segment,1,baseline/legacy comparison,
A_baselines,005_yolo11-seg-mano-p3,A_baselines/legacy/005_yolo11-seg-mano-p3.yaml,Segment,1,baseline/legacy comparison,
A_baselines,006_yolo11-seg-mano-p4,A_baselines/legacy/006_yolo11-seg-mano-p4.yaml,Segment,1,baseline/legacy comparison,
A_baselines,007_yolo11-seg-mano-p5,A_baselines/legacy/007_yolo11-seg-mano-p5.yaml,Segment,1,baseline/legacy comparison,
A_baselines,008_yolo11-seg-mano-p345,A_baselines/legacy/008_yolo11-seg-mano-p345.yaml,Segment,1,baseline/legacy comparison,
A_baselines,010_yolo11-seg-hvi,A_baselines/legacy/010_yolo11-seg-hvi.yaml,Segment,80,baseline/legacy comparison,
A_baselines,011_yolo11-seg-hvi-mano,A_baselines/legacy/011_yolo11-seg-hvi-mano.yaml,Segment,1,baseline/legacy comparison,
A_baselines,012_yolo11-seg-p2-cfs,A_baselines/legacy/012_yolo11-seg-p2-cfs.yaml,SegmentP2CFS,80,baseline/legacy comparison,
B_series,00_b00_yolo11n_reference,B_series/00_b00_yolo11n_reference.yaml,Segment,80,current redesigned series; pending training,
B_series,01_b01_lite_head_reference,B_series/01_b01_lite_head_reference.yaml,SegmentCitrusLite,80,current redesigned series; pending training,
B_series,02_b02_repcontext_lite,B_series/02_b02_repcontext_lite.yaml,SegmentCitrusLite,80,current redesigned series; pending training,
B_series,03_b03_scalefusion_lite,B_series/03_b03_scalefusion_lite.yaml,SegmentCitrusLite,80,current redesigned series; pending training,
B_series,04_b04_topology_lite,B_series/04_b04_topology_lite.yaml,SegmentCitrusBLite,80,current redesigned series; pending training,
B_series,05_b05_context_scale_lite,B_series/05_b05_context_scale_lite.yaml,SegmentCitrusLite,80,current redesigned series; pending training,
B_series,06_b06_context_topology_lite,B_series/06_b06_context_topology_lite.yaml,SegmentCitrusBLite,80,current redesigned series; pending training,
B_series,07_b07_scale_topology_lite,B_series/07_b07_scale_topology_lite.yaml,SegmentCitrusBLite,80,current redesigned series; pending training,
B_series,08_b08_full_factorial,B_series/08_b08_full_factorial.yaml,SegmentCitrusBLite,80,current redesigned series; pending training,
B_series,09_b09_recall_balanced_final,B_series/09_b09_recall_balanced_final.yaml,SegmentCitrusLiteBQ,80,current redesigned series; pending training,
C_series,01_c01_g10_clean_reproduction,C_series/01_c01_g10_clean_reproduction.yaml,SegmentP2Boundary,80,task-specific semantic/detail topology series; pending training,
C_series,02_c02_b06_clean_anchor,C_series/02_c02_b06_clean_anchor.yaml,SegmentCitrusBLite,80,task-specific semantic/detail topology series; pending training,
C_series,03_c03_dualproto_core,C_series/03_c03_dualproto_core.yaml,SegmentCitrusDualProto,80,task-specific semantic/detail topology series; pending training,
C_series,04_c04_dualproto_early_hwd,C_series/04_c04_dualproto_early_hwd.yaml,SegmentCitrusDualProto,80,task-specific semantic/detail topology series; pending training,
C_series,05_c05_dualproto_carafe,C_series/05_c05_dualproto_carafe.yaml,SegmentCitrusDualProto,80,task-specific semantic/detail topology series; pending training,
C_series,06_c06_dualproto_hwd_carafe,C_series/06_c06_dualproto_hwd_carafe.yaml,SegmentCitrusDualProto,80,task-specific semantic/detail topology series; pending training,
