epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5919,3.72412,4.74054,3.80486,2.72637,0,0.00737,0.42539,0.0226,0.0056,0.0065,0.37528,0.01929,0.00425,3.20204,4.4625,3.81889,2.31905,0,0.000331313,0.000331313,0.0672
2,60.4802,3.14185,4.18233,3.26839,2.23431,0,0.34644,0.14462,0.11278,0.03462,0.34307,0.14254,0.11656,0.03445,3.02834,4.33416,3.26205,2.21822,0,0.000662453,0.000662453,0.0341978
3,88.5225,2.63545,3.80709,2.55114,1.96446,0,0.49766,0.30559,0.32063,0.13815,0.50404,0.29844,0.30662,0.11925,2.32211,3.83494,2.35338,1.88056,0,0.000991393,0.000991393,0.00119341
4,116.923,2.35623,3.52734,2.18254,1.78907,0,0.62293,0.41314,0.43256,0.21998,0.65207,0.37416,0.41771,0.20044,2.00053,3.32955,1.94933,1.6663,0,0.0009901,0.0009901,0.0009901
5,144.363,2.12424,3.27368,1.94961,1.65191,0,0.70812,0.42145,0.47387,0.24639,0.70491,0.42873,0.47949,0.24473,1.82671,3.06248,1.74023,1.55964,0,0.0009868,0.0009868,0.0009868
6,172.739,2.00259,3.16677,1.84817,1.58064,0,0.69096,0.46102,0.49392,0.29124,0.68845,0.46102,0.49066,0.27466,1.70094,2.9755,1.61655,1.47719,0,0.0009835,0.0009835,0.0009835
7,200.968,1.87085,2.90064,1.70422,1.51952,0,0.78469,0.43831,0.51699,0.31494,0.77472,0.43275,0.50846,0.30068,1.60604,2.83115,1.53761,1.42811,0,0.0009802,0.0009802,0.0009802
8,229.569,1.82726,2.9186,1.69216,1.46933,0,0.81316,0.4833,0.56548,0.34456,0.81093,0.48107,0.55723,0.33304,1.54749,2.70924,1.54009,1.38496,0,0.0009769,0.0009769,0.0009769
9,258.345,1.77365,2.84832,1.63579,1.44372,0,0.79295,0.4947,0.56055,0.35057,0.80165,0.48607,0.55474,0.34648,1.53396,2.58136,1.42334,1.38243,0,0.0009736,0.0009736,0.0009736
10,285.889,1.71588,2.656,1.56253,1.4067,0,0.76574,0.51689,0.57629,0.36138,0.77069,0.52023,0.57894,0.3669,1.4817,2.48935,1.35278,1.329,0,0.0009703,0.0009703,0.0009703
11,314.232,1.65148,2.60332,1.4565,1.35125,0,0.81648,0.50533,0.57456,0.36816,0.82718,0.49889,0.56943,0.35393,1.40782,2.42388,1.34349,1.31361,0,0.000967,0.000967,0.000967
12,342.446,1.65122,2.59628,1.50424,1.35857,0,0.84423,0.52116,0.61653,0.40592,0.84163,0.52004,0.61139,0.39255,1.36753,2.34084,1.26465,1.27878,0,0.0009637,0.0009637,0.0009637
13,370.672,1.53897,2.46707,1.38678,1.30575,0,0.83231,0.54788,0.624,0.40178,0.82792,0.54454,0.61777,0.40486,1.35761,2.22306,1.23398,1.27151,0,0.0009604,0.0009604,0.0009604
14,399.057,1.51533,2.3677,1.36314,1.28261,0,0.87434,0.54343,0.63584,0.42058,0.87716,0.54454,0.63211,0.42645,1.34445,2.21652,1.23687,1.25305,0,0.0009571,0.0009571,0.0009571
15,427.229,1.48563,2.30846,1.35398,1.2809,0,0.82632,0.53452,0.59578,0.40449,0.8206,0.53229,0.58908,0.39408,1.29831,2.19178,1.21023,1.23545,0,0.0009538,0.0009538,0.0009538
16,455.29,1.43211,2.29694,1.30184,1.25931,0,0.81407,0.57047,0.64649,0.43713,0.81144,0.56548,0.64231,0.43043,1.27072,2.18749,1.18194,1.21589,0,0.0009505,0.0009505,0.0009505
17,483.623,1.42881,2.31682,1.28372,1.26107,0,0.82804,0.55902,0.62574,0.42599,0.82103,0.55173,0.62237,0.40781,1.25592,2.13961,1.15123,1.21122,0,0.0009472,0.0009472,0.0009472
18,511.112,1.40298,2.2722,1.30143,1.23833,0,0.81655,0.56008,0.64384,0.43132,0.82629,0.56677,0.64653,0.42891,1.28553,2.14981,1.17186,1.22517,0,0.0009439,0.0009439,0.0009439
19,539.246,1.41641,2.21363,1.28116,1.23468,0,0.84389,0.57684,0.66149,0.4565,0.84226,0.57572,0.65901,0.44183,1.20814,2.09287,1.10377,1.18854,0,0.0009406,0.0009406,0.0009406
20,567.391,1.4017,2.18488,1.26445,1.23081,0,0.86343,0.56682,0.66099,0.45924,0.86174,0.5657,0.66231,0.45379,1.19269,1.97306,1.08638,1.17352,0,0.0009373,0.0009373,0.0009373
21,595.478,1.32664,2.12728,1.23665,1.19973,0,0.85751,0.5902,0.66984,0.46181,0.85498,0.58686,0.66731,0.45617,1.17494,1.98498,1.06818,1.1684,0,0.000934,0.000934,0.000934
22,623.832,1.34057,2.06458,1.21436,1.18892,0,0.8658,0.546,0.63934,0.4374,0.85906,0.53675,0.62877,0.42549,1.20469,2.00777,1.24402,1.17297,0,0.0009307,0.0009307,0.0009307
23,651.995,1.29448,2.0802,1.17739,1.1784,0,0.84666,0.59465,0.66981,0.4685,0.84026,0.58797,0.66375,0.45023,1.13712,1.931,1.04666,1.13955,0,0.0009274,0.0009274,0.0009274
24,679.791,1.32164,2.06788,1.19562,1.18954,0,0.8394,0.57038,0.6542,0.46257,0.86617,0.56013,0.65341,0.44083,1.12973,1.9807,1.06182,1.14716,0,0.0009241,0.0009241,0.0009241
25,707.939,1.30096,2.08589,1.1811,1.17694,0,0.85916,0.57572,0.664,0.45877,0.85251,0.57127,0.65879,0.44835,1.14158,1.94737,1.13014,1.12959,0,0.0009208,0.0009208,0.0009208
26,736.165,1.29119,2.01483,1.17127,1.16946,0,0.83046,0.5902,0.66851,0.46941,0.83048,0.58374,0.66301,0.45457,1.10767,1.90545,1.03216,1.12301,0,0.0009175,0.0009175,0.0009175
27,764.146,1.26759,2.00309,1.14279,1.15981,0,0.87017,0.58961,0.6884,0.47706,0.86688,0.58738,0.68215,0.46284,1.12983,1.89387,1.02667,1.12638,0,0.0009142,0.0009142,0.0009142
28,792.251,1.24601,1.96641,1.10885,1.14763,0,0.83494,0.60579,0.68296,0.48086,0.82959,0.60245,0.68039,0.46489,1.11506,1.85551,1.0212,1.12584,0,0.0009109,0.0009109,0.0009109
29,820.339,1.2742,1.98646,1.11683,1.14989,0,0.8173,0.57572,0.65071,0.44654,0.83676,0.55369,0.64111,0.43903,1.12318,1.8828,1.08887,1.12809,0,0.0009076,0.0009076,0.0009076
30,848.393,1.22925,1.90902,1.10329,1.14329,0,0.86167,0.62138,0.70268,0.50175,0.86013,0.62027,0.69876,0.48965,1.07066,1.80189,0.98937,1.10174,0,0.0009043,0.0009043,0.0009043
31,876.465,1.25051,1.94895,1.1025,1.13901,0,0.87231,0.58018,0.68238,0.47626,0.85179,0.58879,0.67965,0.47212,1.08899,1.76454,1.02341,1.10883,0,0.000901,0.000901,0.000901
32,904.297,1.24179,1.86778,1.08728,1.13501,0,0.82161,0.64624,0.7064,0.49534,0.82444,0.64846,0.70892,0.49478,1.11181,1.76544,1.00102,1.1061,0,0.0008977,0.0008977,0.0008977
33,932.306,1.2242,1.87528,1.10725,1.13119,0,0.86827,0.59577,0.69288,0.49879,0.8634,0.59243,0.68669,0.48022,1.05697,1.78167,1.01083,1.09182,0,0.0008944,0.0008944,0.0008944
34,960.625,1.1739,1.83988,1.06329,1.10051,0,0.85676,0.6261,0.70495,0.50531,0.86624,0.62019,0.70299,0.48234,1.03406,1.74358,0.94293,1.07362,0,0.0008911,0.0008911,0.0008911
35,988.985,1.19263,1.79788,1.0596,1.11235,0,0.87426,0.60245,0.69942,0.49728,0.8581,0.59131,0.68855,0.47521,1.03684,1.75371,0.98472,1.07622,0,0.0008878,0.0008878,0.0008878
